ratio,variables,gens II,gens I1,gens I2,CoCoALib,BDD,M2
12.0299,168,1036,103,121,0.010667,8.1e-05,0.004634
10.3371,189,1697,179,98,0.017954,0.000117,0.009062
6.22473,210,2483,161,96,0.018677,6.9e-05,0.011811
7.04141,231,5626,139,285,0.065217,0.000244,0.044839
11.3805,252,665,88,86,0.007518,4.6e-05,0.003215
6.45924,273,2809,168,108,0.02756,7.7e-05,0.012865
5.21,294,2119,115,96,0.01487,0.000103,0.008477
10.5065,110,1382,120,121,0.011372,6.1e-05,0.00505
10.5263,132,969,100,102,0.008178,4.7e-05,0.005656
4.88713,154,1896,41,226,0.009715,4.5e-05,0.00724
4.70728,176,5770,157,173,0.04386,0.000258,0.034781
7.66783,198,3155,189,128,0.030641,8.8e-05,0.017326
5.10943,220,4880,137,182,0.037938,0.000194,0.028391
12.1731,242,1363,136,122,0.018026,8.6e-05,0.007922
13.9757,264,1440,125,161,0.026246,5.9e-05,0.011042
12.0017,286,2334,188,149,0.040584,0.000147,0.016215
8.21132,308,795,68,96,0.007565,3.8e-05,0.003291
7.43318,115,898,89,75,0.005031,2.8e-05,0.003763
6.51481,138,4794,244,128,0.044742,0.000157,0.028886
8.44867,161,2893,121,202,0.025739,0.000112,0.017044
4.00106,184,6616,257,103,0.052252,0.000185,0.037708
15.6653,207,1246,149,131,0.019571,8.8e-05,0.006947
9.52284,230,985,70,134,0.009513,7.6e-05,0.003932
7.01625,253,3261,160,143,0.028784,0.000188,0.019716
5.3232,276,2961,142,111,0.023458,7.4e-05,0.018335
7.66074,299,2193,100,168,0.023891,6.7e-05,0.013269
6.22086,322,6502,128,316,0.090972,0.00015,0.055653
8.75309,120,2831,210,118,0.025279,7.3e-05,0.01265
7.27553,144,1234,134,67,0.007923,6.2e-05,0.004779
10.4298,168,2883,117,257,0.034593,0.000107,0.02292
6.16421,192,1900,96,122,0.011996,0.00013,0.007924
10.0346,216,1732,158,110,0.018897,9.5e-05,0.008787
7.83333,240,2340,141,130,0.023042,0.000153,0.013037
15.0987,264,1722,250,104,0.033711,8.7e-05,0.00903
8.79669,288,3743,163,202,0.054018,0.000194,0.024469
9.45873,312,521,88,56,0.005408,3.5e-05,0.001771
7.8107,336,3328,317,82,0.042809,0.000114,0.019015
12.0512,125,1055,163,78,0.010224,6.6e-05,0.003472
9.90158,150,7011,260,267,0.115341,0.000218,0.069088
6.44694,175,4363,293,96,0.039184,0.000164,0.023796
7.82086,200,1496,60,195,0.011644,8.1e-05,0.006516
8.44392,225,3388,149,192,0.037773,0.000129,0.019042
11.1605,250,2125,242,98,0.029907,0.000163,0.009644
5.69276,275,14347,194,421,0.234434,0.000842,0.167017
4.85141,300,3163,279,55,0.024674,5.2e-05,0.012575
5.04058,325,2489,153,82,0.020067,5.8e-05,0.011378
10.2135,350,2707,128,216,0.045431,9.6e-05,0.022306
13.0354,130,1357,133,133,0.014566,8.4e-05,0.006151
9.73469,156,3675,225,159,0.042257,0.000166,0.024626
11.7837,182,3883,246,186,0.056587,0.000197,0.031881
10.2807,208,3955,190,214,0.052746,0.000242,0.02741
8.32362,234,5009,241,173,0.065442,0.000242,0.039264
12.2871,260,3971,152,321,0.076252,0.000178,0.036849
5.4732,286,8882,281,173,0.114487,0.000268,0.061149
8.47259,312,6568,296,188,0.116684,0.000338,0.055662
6.09076,338,19899,505,240,0.439034,0.000648,0.225635
11.1581,364,5732,226,283,0.121286,0.000267,0.057062
5.70784,135,11569,274,241,0.134524,0.00048,0.092355
20.3575,162,3357,268,255,0.076674,0.000261,0.036814
12.9724,189,1450,99,190,0.019013,8e-05,0.006707
5.01475,216,8206,129,319,0.084128,0.000191,0.061823
